name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009
TotalRevenue,"12,016,269,107.14","5,257,158,413.95","3,790,602,361.53","1,521,679,543.7","1,446,828,787.96","904,210,248.68","812,667,748.89","547,943,379.82","910,412,315.79","968,428,761.08","1,043,473,975.88","1,207,601,333.95","1,252,504,950.92","1,337,035,022.86","1,485,571,415.82","1,469,360,909.2","1,620,474,078.84","1,669,013,570.84","1,509,967,062.14","1,545,518,056.71","1,350,922,953.48","1,063,631,802.16","1,134,416,256.84","1,064,553,210.04","951,600,887.76","753,993,878.77","559,977,139.67","551,236,225.38","397,933,152.95","357,730,150.59","522,146,556.38","253,400,369.75","559,250,895.19","87,586,187.19","128,747,373.77","104,079,536.18","108,690,819.96","73,458,177.4","89,980,735.47","105,311,036.08","118,834,986.77","82,702,389.92","104,421,007.6","108,706,187.8","113,344,247.27","76,261,723.07","82,967,986.13","73,448,586.62","78,701,342.68","59,145,920.67","67,785,955.37","84,578,856.22"
	OperatingRevenue,"12,016,269,107.14","5,257,158,413.95","3,790,602,361.53","1,521,679,543.7","1,446,828,787.96","904,210,248.68","812,667,748.89","547,943,379.82","910,412,315.79","968,428,761.08","1,043,473,975.88","1,207,601,333.95","1,252,504,950.92","1,337,035,022.86","1,485,571,415.82","1,469,360,909.2","1,620,474,078.84","1,669,013,570.84","1,509,967,062.14","1,545,518,056.71","1,350,922,953.48","1,063,631,802.16","1,134,416,256.84","1,064,553,210.04","951,600,887.76","753,993,878.77","559,977,139.67","551,236,225.38","397,933,152.95","357,730,150.59","522,146,556.38","253,400,369.75","559,250,895.19","87,586,187.19","128,747,373.77","104,079,536.18","108,690,819.96","73,458,177.4","89,980,735.47","105,311,036.08","118,834,986.77","82,702,389.92","104,421,007.6","108,706,187.8","113,344,247.27","76,261,723.07","82,967,986.13","73,448,586.62","78,701,342.68","59,145,920.67","67,785,955.37","84,578,856.22"
CostOfRevenue,"3,195,605,951.44","773,630,199.33","1,104,973,645.12","660,963,526.96","656,038,580.03","492,384,983.14","553,081,941.42","408,419,144.65","480,206,838.38","453,543,271.2","529,124,703.08","565,402,453.45","487,551,136.23","520,563,223.73","601,582,852.4","518,543,301.42","463,797,172.93","439,465,171.48","436,022,852.67","440,148,551.99","425,071,469.81","332,004,634.1","328,704,218.22","322,822,624.44","243,376,879.56","227,744,736.18","314,658,458.49","278,092,259.83","167,994,458.82","229,774,998.95","291,117,118.93","184,527,019.43","397,199,662.25","91,167,671.18","120,555,523.43","87,489,943.42","85,586,624.81","59,687,259.31","68,791,978.06","78,417,700.02","95,709,484.24","68,943,678.47","85,952,397.17","90,606,677.12","96,587,900.1","63,045,553.73","66,417,393.4","56,346,359.76","58,978,981.5","48,164,152.62","52,191,783.54","67,843,102.27"
GrossProfit,"8,820,663,155.7","4,483,528,214.62","2,685,628,716.41","860,716,016.74","790,790,207.93","411,825,265.54","259,585,807.47","139,524,235.17","430,205,477.41","514,885,489.88","514,349,272.8","642,198,880.5","764,953,814.69","816,471,799.13","883,988,563.42","950,817,607.78","1,156,676,905.91","1,229,548,399.36","1,073,944,209.47","1,105,369,504.72","925,851,483.67","731,627,168.06","805,712,038.62","741,730,585.6","708,224,008.2","526,249,142.59","245,318,681.18","273,143,965.55","229,938,694.13","127,955,151.64","231,029,437.45","68,873,350.32","162,051,232.94","-3,581,483.99","8,191,850.34","16,589,592.76","23,104,195.15","13,770,918.09","21,188,757.41","26,893,336.06","23,125,502.53","13,758,711.45","18,468,610.43","18,099,510.68","16,756,347.17","13,216,169.34","16,550,592.73","17,102,226.86","19,722,361.18","10,981,768.05","15,594,171.83","16,735,753.95"
OperatingExpense,"644,462,111.92","189,908,087.45","201,752,733.74","136,831,185.74","115,970,104.99","102,250,543.29","185,714,118.75","98,215,536.1","80,999,358.42","108,518,724.49","230,014,365.34","102,958,092.48","95,673,056.22","90,747,622.69","358,220,102.43","122,279,642.06","107,263,396.83","80,161,367.5","115,516,207.28","95,410,965.98","76,010,455.44","61,787,273.48","107,108,286.57","74,912,757.03","52,866,785.75","42,613,632.8","75,389,199.21","38,280,478.31","57,670,329.27","37,877,996.41","49,426,767.16","32,985,810.21","44,460,875.02","9,500,324.18","120,536,084.66","10,712,651.83","10,288,967.09","7,166,773.79","13,380,970.28","12,060,139.51","9,165,558.08","6,953,633.52","10,665,389.63","7,118,708.34","8,552,197.88","5,498,366.95","9,070,683.23","4,578,053.2","4,633,015.47","4,002,625.2","3,396,807.43","5,552,679.59"
	SellingGeneralAndAdministration,"266,651,770.02","142,859,419.7","-105,547,564.85","237,314,089.02","-7,974,173.85","93,886,412.47","-49,441,930.59","86,794,210.24","-7,889,316.12","100,349,918.36","16,341,251.43","89,310,227.08","2,059,871.43","74,224,458.66","39,869,354.86","98,017,770.2","30,963,380.18","62,786,539.13","-9,838,040.06","79,491,434.69","23,137,283.52","50,634,056.3","17,849,316.88","67,581,411.16","14,269,416.2","38,358,316.89","-21,182,739.71","37,225,120.65","15,604,975.79","37,176,466.01","-26,149,452.08","32,968,058.68","33,558,665.82","9,324,707.09","-603,496.85","10,515,511.54","1,594,961.27","6,854,235.17","-7,960,204.84","11,784,668.8","8,426,651.04","6,511,026.67","-788,223.82","6,911,477.05","8,344,036.94","5,219,594.33","545,469.84","4,427,476.81","4,540,899.02","3,894,606.81","2,930,135.66","4,740,784.22"
		GeneralAndAdministrativeExpense,"243,958,132.93","137,045,085.43","-115,355,689.83","235,341,152.94","-13,072,415.61","89,644,720.29","-45,945,850.84","77,115,025.79","-19,091,418.82","91,903,352.21","-1,484,656.16","78,494,609.4","-9,222,460.93","64,317,842.92","18,947,183.92","86,660,251.04","19,841,210.2","54,515,768.22","-23,185,542.43","69,026,507.57","12,781,325.66","43,754,242.57","4,038,557.92","58,891,172.24","6,353,618.19","31,820,662.62","-33,344,492.41","30,066,034.18","8,809,235.18","32,452,415.48","-32,735,203.71","26,722,978.05","27,019,464.76","7,260,985.51","-4,858,038.68","8,076,924.53","-1,106,098.37","5,583,710.07","-12,066,154.08","8,610,561.64","6,033,258.21","4,659,843.72","-4,475,555.29","4,601,056.01","4,919,880.14","3,655,821.64","-2,124,507.86","2,661,753.78","2,798,450.3","2,254,906.97","1,414,267.93","2,022,415.69"
		SellingAndMarketingExpense,"22,693,637.09","5,814,334.27","9,808,124.98","1,972,936.08","5,098,241.76","4,241,692.18","-3,496,079.75","9,679,184.45","11,202,102.7","8,446,566.15","17,825,907.59","10,815,617.68","11,282,332.36","9,906,615.74","20,922,170.94","11,357,519.16","11,122,169.98","8,270,770.91","13,347,502.37","10,464,927.12","10,355,957.86","6,879,813.73","13,810,758.96","8,690,238.92","7,915,798.01","6,537,654.27","12,161,752.7","7,159,086.47","6,795,740.61","4,724,050.53","6,585,751.63","6,245,080.63","6,539,201.06","2,063,721.58","4,254,541.83","2,438,587.01","2,701,059.64","1,270,525.1","4,105,949.24","3,174,107.16","2,393,392.83","1,851,182.95","3,687,331.47","2,310,421.04","3,424,156.8","1,563,772.69","2,669,977.7","1,765,723.03","1,742,448.72","1,639,699.84","1,515,867.73","2,718,368.53"
	ResearchAndDevelopment,"19,016,407.91","5,681,707.25","3,966,650.15","7,110,688.89","2,257,361.62","5,491,674.91","6,045,646.22","6,047,245.96","6,492,583.33","5,683,411.58","12,833,109.61","10,305,859.83","12,858,248.95","12,365,285.96","19,523,779.34","21,080,180.51",,,"39,384,224.23","3,089,377.86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,"132,097,904.48","42,474,887.32","70,255,287.45","-4,191,864.35","23,559,594.06","3,897,112.66","35,135,019.55","6,314,847","7,960,475.49","3,392,961.3","15,289,244.39","4,237,011.59","4,273,693.72","4,947,241.85","171,693,923.76","3,964,918.17","16,638,898.94","18,089,192.15","18,969,554.64","16,921,276.44","11,491,564.05","11,153,217.18","26,254,406.81","7,331,345.87","10,761,705.17","4,255,315.91","12,348,146.53","1,055,357.66","3,653,838.63","701,530.4","6,261,769.49","17,751.53","-911,331.76","175,617.09","102,281,010.21","197,140.29","1,568,921.3","312,538.62","2,958,820.68","275,470.71","738,907.04","442,606.85","3,103,082.93","207,231.29","208,160.94","278,772.62","2,384,720.47","150,576.39","92,116.45","108,018.39","466,671.77","811,895.37"
OperatingIncome,"8,176,201,043.78","4,293,620,127.17","2,483,875,982.67","723,884,831","674,820,102.94","309,574,722.25","73,871,688.72","41,308,699.07","349,206,118.99","406,366,765.39","284,334,907.46","539,240,788.02","669,280,758.47","725,724,176.44","525,768,460.99","828,537,965.72","1,049,413,509.08","1,149,387,031.86","958,428,002.19","1,009,958,538.74","849,841,028.23","669,839,894.58","698,603,752.05","666,817,828.57","655,357,222.45","483,635,509.79","169,929,481.97","234,863,487.24","172,268,364.86","90,077,155.23","181,602,670.29","35,887,540.11","117,590,357.92","-13,081,808.17","-112,344,234.32","5,876,940.93","12,815,228.06","6,604,144.3","7,807,787.13","14,833,196.55","13,959,944.45","6,805,077.93","7,803,220.8","10,980,802.34","8,204,149.29","7,717,802.39","7,479,909.5","12,524,173.66","15,089,345.71","6,979,142.85","12,197,364.4","11,183,074.36"
NetNonOperatingInterestIncomeExpense,"-1,327,431,142.83","-243,241,179.05","32,346,493.75","-854,307,790.81","-262,228,666.72","-402,081,148.15","-540,900,514.48","-248,005,735.19","16,856,441.15","-1,007,285,985.2","-399,103,807.89","-639,428,048.81","-499,425,091.62","-509,652,597.65","-111,859,846.64","-117,069,680.35","-29,772,749.74","-38,732,631.76","-73,591,127.45","-23,939,120.74","-55,792,231.68","8,965,611.59","-51,619,956.52","7,423,175.6","-9,915,835.56","-17,655,371.19","1,566,430.16","-60,479,085.22","-40,592,454.96","2,413,842.29","5,606,122.25","0","-15,259,879.34","-7,446,885.87","-10,855,839.56","-9,217,514.83","-7,823,622.05","-6,029,775.86","-3,491,853.8","-619,139.93","608,908.42","1,715,557.25","2,844,460.47","1,101,345.83","2,164,609.98","2,245,475.22","3,164,535.36","-1,244,258.54","-665,772.67","-1,682,326.69","-1,173,534.5","-1,195,420.9"
	InterestIncomeNonOperating,"4,178,639.3","1,673,208.41","1,152,319.12","621,970.52","731,141.25","881,291.03","1,269,985.23","94,684.09","-60,555.34","5,766,126.54","4,477,921.37","1,475,219.38","1,768,613.01","1,237,631.03","18,837,217.26","7,701,076.98",,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"1,405,620,148.39","282,484,105.68","309,776,810.74","497,658,741.82","315,700,490.15","345,241,482.31","421,774,444.05","413,209,539.43","478,872,254.24","506,247,802.52","484,569,290.59","553,559,821.2","508,680,139.3","496,961,638.11","213,690,503.02","97,689,136.97","65,019,851.6","38,732,631.76","95,875,379.28","23,939,120.74","67,742,033.01","-8,965,611.59","68,609,224.12","-7,423,175.6","17,664,002.4","17,655,371.19","19,505,833.36","60,479,085.22","47,258,337.78","-2,413,842.29","9,092,447.34","0","23,133,106.32","7,446,885.87","9,411,992.51","9,217,514.83","8,481,311.91","6,029,775.86","7,566,517.16","619,139.93","-608,908.42","-1,715,557.25","6,301,600.84","-1,101,345.83","2,695,641.89","-2,245,475.22","-172,702.75","1,244,258.54","751,219.37","1,682,326.69","1,571,914.29","1,195,420.9"
	TotalOtherFinanceCost,"-74,010,366.26","-37,569,718.22","-340,970,985.37","357,271,019.51","-52,740,682.18","57,720,956.87","120,396,055.66","-165,109,120.15","-495,789,250.73","506,804,309.22","-80,987,561.33","87,343,446.99","-7,486,434.67","13,928,590.57","-82,993,439.12","27,081,620.36","-37,863,126.26","38,732,631.76","-21,269,934.81","23,939,120.74","11,147,913.54","-8,965,611.59","-16,125,604.66","-7,423,175.6","-16,574,844.89","17,655,371.19","-96,539,493.98","60,479,085.22","3,489,515.68","-2,413,842.29","-30,237,155.56",,"-4,861,257.66","7,446,885.87","-19,799,234.6","9,217,514.83","-5,283,680.9","6,029,775.86","2,563,601.73","619,139.93","-608,908.42","-1,715,557.25","5,481,780.58","-1,101,345.83","2,505,935.21","-2,245,475.22","-3,538,838.73","1,244,258.54","-1,628,567.59","1,682,326.69","-2,935,723.2","1,195,420.9"
PretaxIncome,"9,158,605,233.87","5,050,730,785.88","2,819,144,449.21","684,163,303.22","604,566,695.56","-144,209,289.27","-589,774,315.78","-334,896,632.96","237,314,840.51","-366,774,860.09","-5,271,228,469.32","87,984,170.24","311,626,991.32","391,409,895.54","794,516,976.68","743,136,017.1","1,034,584,603.18","1,061,479,592.64","975,727,868.43","950,207,587.48","848,581,246.03","677,080,575","346,708,893.85","684,487,422.19","656,227,731.96","471,261,446.96","169,059,860.67","119,443,463.48","129,259,663.8","95,290,028.34","212,043,954.72","36,094,534.91","99,511,698.45","-19,862,969.58","-144,715,364.9","-2,993,599.54","6,222,968","2,472,378.47","4,276,315.81","18,714,527.29","16,433,840","9,532,413.75","10,144,532.22","14,854,386.68","12,669,612.1","10,769,581.1","12,334,987.94","12,153,670.12","13,825,832.56","9,150,435.12","13,311,342.23","10,109,100.18"
TaxProvision,"2,450,974,468.88","1,115,051,405.53","926,262,219.74","233,631,906.58","176,028,937.03","37,711,439.38","-34,414,460.84","-72,927,608.32","169,072,300.99","11,514,030.5","830,702,965.89","259,429.42","67,840,031.09","103,324,790.55","93,952,941.21","199,646,951.09","268,838,652.93","266,937,912.28","231,411,538.76","226,869,876.98","206,150,347.85","175,536,251.77","-47,742,967.01","153,912,182.71","134,107,448.13","131,848,450.79","-82,831,633.43","65,457,959.62","61,899,749.01","42,698,890.96","-5,397,237.81","20,761,249.89",,,"-7,919,405.27","-110,812.89","941,610.07","436,432.57","452,391.07","2,561,157.97","2,824,944.7","1,384,412.58","2,167,996.65","2,401,503.75","1,715,515.56","1,927,116.3","2,703,993.92","1,926,903.93","2,412,955.08","1,536,926.84","1,691,893.15","1,816,633.75"
