name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994
TotalAssets,"34,648,000,000","32,963,000,000","35,030,000,000","34,727,000,000","35,203,000,000","34,603,000,000","34,267,000,000","34,566,000,000","34,142,000,000","33,648,000,000","33,423,000,000","33,238,000,000","33,471,000,000","32,521,000,000","32,489,000,000","32,597,000,000","32,573,000,000","33,112,000,000","38,834,000,000","36,469,000,000","36,508,000,000","36,119,000,000","37,108,000,000","36,974,000,000","36,900,000,000","36,850,000,000","37,000,000,000","38,584,000,000","37,997,000,000","38,966,000,000","38,983,000,000","39,433,000,000","40,973,000,000","40,411,000,000","41,250,000,000","40,836,000,000","42,718,000,000","41,830,000,000","41,356,000,000","42,749,000,000","45,431,000,000","45,333,000,000","40,883,000,000","42,635,000,000","40,500,000,000","40,511,000,000","41,780,000,000","40,701,000,000","41,882,000,000","39,535,000,000","39,261,000,000","37,418,000,000","34,838,000,000","34,806,000,000","36,653,000,000","38,115,000,000","35,745,000,000","34,453,000,000","33,350,000,000","32,622,000,000","31,955,000,000","31,163,000,000","31,936,000,000","30,973,000,000","30,103,000,000","29,432,000,000","29,648,000,000","29,380,000,000","29,663,000,000","29,732,000,000","29,956,000,000","28,997,000,000","29,734,000,000","29,904,000,000","30,415,000,000","34,158,000,000","32,869,000,000","33,776,000,000","36,566,000,000","38,675,000,000","40,201,000,000","36,736,000,000","36,381,000,000","35,529,000,000","35,588,000,000","31,033,000,000","29,470,000,000","29,020,000,000","23,402,000,000","20,880,000,000","12,106,000,000","11,237,000,000","10,165,000,000","10,781,000,000","10,387,000,000","10,464,000,000","8,995,000,000","8,909,000,000","6,568,000,000","6,332,000,000","4,078,000,000","3,622,000,000","3,419,000,000","2,941,000,000","3,622,000,000","2,320,000,000","2,225,500,000","2,142,700,000","1,972,400,000","1,914,900,000","1,899,500,000","1,869,600,000","1,858,200,000"
	CurrentAssets,"6,142,000,000","5,356,000,000","5,690,000,000","5,530,000,000","6,237,000,000","5,414,000,000","5,885,000,000","5,966,000,000","5,751,000,000","5,231,000,000","5,470,000,000","5,517,000,000","5,855,000,000","5,015,000,000","5,015,000,000","5,287,000,000","5,438,000,000","6,398,000,000","6,660,000,000","6,318,000,000","6,401,000,000","6,411,000,000","7,294,000,000","7,381,000,000","6,947,000,000","6,866,000,000","7,220,000,000","7,515,000,000","7,642,000,000","7,826,000,000","7,887,000,000","7,407,000,000","7,989,000,000","7,739,000,000","8,251,000,000","7,810,000,000","9,258,000,000","8,465,000,000","8,684,000,000","8,317,000,000","9,559,000,000","9,228,000,000","10,067,000,000","10,173,000,000","8,746,000,000","9,446,000,000","9,768,000,000","9,564,000,000","10,460,000,000","8,787,000,000","8,728,000,000","8,022,000,000","7,213,000,000","7,326,000,000","8,393,000,000","8,904,000,000","8,363,000,000","8,336,000,000","7,620,000,000","7,555,000,000","6,834,000,000","6,565,000,000","6,878,000,000","6,129,000,000","5,628,000,000","5,232,000,000","5,406,000,000","5,336,000,000","4,896,000,000","4,938,000,000","5,110,000,000","4,484,000,000","4,781,000,000","4,886,000,000","4,914,000,000","5,319,000,000","4,735,000,000","4,349,000,000","5,042,000,000","5,405,000,000","5,909,000,000","4,653,000,000","4,355,000,000","4,425,000,000","4,929,000,000","5,573,000,000","4,770,000,000","4,482,000,000","3,354,000,000","2,587,000,000","1,866,000,000","1,271,000,000","1,284,000,000","1,254,000,000","1,230,000,000","1,174,000,000","1,060,000,000","1,190,000,000","799,000,000","735,000,000","730,000,000","502,000,000","460,000,000","411,000,000","502,000,000","425,000,000","441,200,000","429,300,000","406,600,000","435,700,000","445,900,000","408,500,000","396,400,000"
		CashCashEquivalentsAndShortTermInvestments,"1,496,000,000","1,175,000,000","1,581,000,000","1,495,000,000","2,073,000,000","1,424,000,000","1,889,000,000","1,839,000,000","1,872,000,000","1,429,000,000","1,479,000,000","1,579,000,000","1,804,000,000","1,479,000,000","1,588,000,000","1,996,000,000","1,829,000,000","1,373,000,000","1,961,000,000","1,953,000,000","2,222,000,000","2,103,000,000","1,921,000,000","1,809,000,000","1,813,000,000","1,746,000,000","1,890,000,000","1,461,000,000","1,919,000,000","2,248,000,000","2,356,000,000","1,939,000,000","2,034,000,000","2,310,000,000","2,929,000,000","2,314,000,000","3,152,000,000","2,666,000,000","2,816,000,000","2,610,000,000","3,428,000,000","3,066,000,000","4,445,000,000","4,855,000,000","3,721,000,000","4,284,000,000","4,493,000,000","4,607,000,000","5,123,000,000","3,457,000,000","3,377,000,000","2,887,000,000","2,401,000,000","2,285,000,000","1,707,000,000","2,286,000,000","1,766,000,000","3,364,000,000","2,273,000,000","2,140,000,000","1,944,000,000","2,123,000,000","2,449,000,000","1,841,000,000","1,777,000,000","1,810,000,000","1,164,000,000","1,381,000,000","1,946,000,000","1,408,000,000","1,582,000,000","1,248,000,000","1,120,000,000","1,737,000,000","1,477,000,000","2,151,000,000","1,163,000,000","780,000,000","975,000,000","1,028,000,000","1,313,000,000","922,000,000","1,297,000,000","1,190,000,000","1,830,000,000","881,000,000","1,106,000,000","1,200,000,000","822,000,000","669,000,000","702,000,000","391,000,000","437,000,000","491,000,000","383,000,000","367,000,000","317,000,000","302,000,000","358,000,000","323,000,000","423,000,000","185,000,000","243,000,000","220,000,000","185,000,000","239,000,000","248,300,000","242,900,000","231,500,000","255,200,000","334,600,000","299,400,000","292,700,000"
			CashAndCashEquivalents,"1,056,000,000","943,000,000","1,411,000,000","1,213,000,000","1,886,000,000","1,089,000,000","1,505,000,000","1,417,000,000","1,544,000,000","1,029,000,000","1,145,000,000","1,169,000,000","1,426,000,000","1,166,000,000","1,187,000,000","1,140,000,000","1,212,000,000","949,000,000","1,398,000,000","1,213,000,000","1,588,000,000","1,305,000,000","1,325,000,000","1,265,000,000","1,185,000,000","1,262,000,000","1,437,000,000","1,022,000,000","1,337,000,000","1,539,000,000","1,670,000,000","1,515,000,000","1,413,000,000","1,642,000,000","2,031,000,000","1,611,000,000","2,301,000,000","1,970,000,000","1,943,000,000","1,727,000,000","1,688,000,000","1,710,000,000","3,392,000,000","3,624,000,000","2,008,000,000","2,554,000,000","2,848,000,000","2,891,000,000","3,392,000,000","1,809,000,000","2,020,000,000","1,735,000,000","1,267,000,000","903,000,000","1,707,000,000","2,286,000,000","1,766,000,000","2,058,000,000","2,273,000,000","2,140,000,000","1,944,000,000","2,123,000,000","2,449,000,000","1,841,000,000","1,777,000,000","1,810,000,000","1,164,000,000","1,381,000,000","1,946,000,000","1,408,000,000","1,582,000,000","1,248,000,000","1,120,000,000","1,737,000,000","1,477,000,000","2,151,000,000","1,163,000,000","780,000,000","975,000,000","1,028,000,000","1,313,000,000","922,000,000","1,297,000,000","1,190,000,000","1,830,000,000","881,000,000","1,106,000,000","1,200,000,000","822,000,000","669,000,000","702,000,000","391,000,000","437,000,000","491,000,000","383,000,000","367,000,000","317,000,000","302,000,000","358,000,000","323,000,000","423,000,000","185,000,000","243,000,000","220,000,000","185,000,000","239,000,000","248,300,000","242,900,000","231,500,000","255,200,000","334,600,000","299,400,000","292,700,000"
			OtherShortTermInvestments,"440,000,000","232,000,000","170,000,000","282,000,000","187,000,000","335,000,000","384,000,000","422,000,000","328,000,000","400,000,000","334,000,000","410,000,000","378,000,000","313,000,000","401,000,000","856,000,000","617,000,000","424,000,000","563,000,000","740,000,000","634,000,000","798,000,000","596,000,000","544,000,000","628,000,000","484,000,000","453,000,000","439,000,000","582,000,000","709,000,000","686,000,000","424,000,000","621,000,000","668,000,000","898,000,000","703,000,000","851,000,000","696,000,000","873,000,000","883,000,000","1,740,000,000","1,356,000,000","1,053,000,000","1,231,000,000","1,713,000,000","1,730,000,000","1,645,000,000","1,716,000,000","1,731,000,000","1,648,000,000","1,357,000,000","1,152,000,000","1,134,000,000","1,382,000,000",,,,"1,306,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"1,523,000,000","1,418,000,000","1,400,000,000","1,374,000,000","1,342,000,000","1,300,000,000","1,404,000,000","1,414,000,000","1,446,000,000","1,479,000,000","1,503,000,000","1,538,000,000","1,564,000,000","1,595,000,000","1,510,000,000","1,423,000,000","1,498,000,000","1,463,000,000","2,357,000,000","2,173,000,000","2,134,000,000","2,166,000,000","2,081,000,000","2,087,000,000","2,581,000,000","2,473,000,000","2,477,000,000","2,877,000,000","2,807,000,000","2,709,000,000","2,755,000,000","2,689,000,000","2,586,000,000","2,363,000,000","2,326,000,000","2,417,000,000","2,633,000,000","2,712,000,000","2,671,000,000","2,628,000,000","2,735,000,000","2,554,000,000","2,392,000,000","2,639,000,000","2,496,000,000","2,389,000,000","2,381,000,000","2,200,000,000","2,259,000,000","2,176,000,000","2,415,000,000","2,314,000,000","2,202,000,000","2,264,000,000","2,451,000,000","2,649,000,000","2,562,000,000","2,326,000,000","2,119,000,000","2,036,000,000","1,860,000,000","1,903,000,000","1,883,000,000","1,926,000,000","1,730,000,000","1,617,000,000","1,770,000,000","1,650,000,000","1,547,000,000","1,575,000,000","1,317,000,000","1,165,000,000","1,204,000,000","1,211,000,000","1,279,000,000","1,142,000,000","1,140,000,000","1,264,000,000","1,292,000,000","1,495,000,000","1,996,000,000","1,598,000,000","1,586,000,000","1,569,000,000","1,527,000,000","1,498,000,000","1,943,000,000","1,364,000,000","1,563,000,000","936,000,000","679,000,000","447,000,000","442,000,000","383,000,000","386,000,000","401,000,000","381,000,000","346,000,000","219,000,000","208,000,000","98,000,000","104,000,000","92,000,000","74,000,000","104,000,000","65,000,000","65,000,000","58,800,000","52,200,000","43,600,000","42,600,000","40,000,000","30,900,000"
			AccountsReceivable,"1,523,000,000","1,418,000,000","1,400,000,000","1,374,000,000","1,342,000,000","1,300,000,000","1,404,000,000","1,414,000,000","1,446,000,000","1,479,000,000","1,503,000,000","1,538,000,000","1,564,000,000","1,595,000,000","1,510,000,000","1,423,000,000","1,498,000,000","1,463,000,000","2,357,000,000","2,173,000,000","2,134,000,000","2,166,000,000","2,081,000,000","2,087,000,000","2,581,000,000","2,473,000,000","2,477,000,000","2,877,000,000","2,807,000,000","2,709,000,000","2,755,000,000","2,689,000,000","2,586,000,000","2,363,000,000","2,326,000,000","2,417,000,000","2,633,000,000","2,712,000,000","2,671,000,000","2,628,000,000","2,735,000,000","2,547,000,000","2,364,000,000","2,614,000,000","2,489,000,000","2,362,000,000","2,349,000,000","2,184,000,000","2,244,000,000","2,152,000,000","2,387,000,000","2,293,000,000","2,180,000,000","2,233,000,000","2,451,000,000","2,649,000,000","2,562,000,000","2,270,000,000","2,119,000,000","2,036,000,000","1,860,000,000","1,903,000,000","1,883,000,000","1,926,000,000","1,730,000,000","1,617,000,000","1,770,000,000","1,650,000,000","1,547,000,000","1,575,000,000","1,317,000,000","1,165,000,000","1,204,000,000","1,211,000,000","1,279,000,000","1,142,000,000","1,140,000,000","1,264,000,000","1,292,000,000","1,495,000,000","1,996,000,000","1,598,000,000","1,586,000,000","1,569,000,000","1,527,000,000","1,498,000,000","1,943,000,000","1,364,000,000","1,563,000,000","936,000,000","679,000,000","447,000,000","442,000,000","383,000,000","386,000,000","401,000,000","381,000,000","346,000,000","219,000,000","208,000,000","98,000,000","104,000,000","92,000,000","74,000,000","104,000,000","65,000,000","65,000,000","58,800,000","52,200,000","43,600,000","42,600,000","40,000,000","30,900,000"
				GrossAccountsReceivable,"1,528,000,000","1,423,000,000","1,409,000,000","1,384,000,000","1,353,000,000","1,313,000,000","1,417,000,000","1,432,000,000","1,466,000,000","1,499,000,000","1,524,000,000","1,560,000,000","1,587,000,000","1,618,000,000","1,526,000,000","1,440,000,000","1,511,000,000","1,473,000,000","2,447,000,000","2,285,000,000","2,250,000,000","2,277,000,000","2,194,000,000","2,195,000,000","2,684,000,000","2,568,000,000","2,562,000,000","2,971,000,000","2,890,000,000","2,805,000,000","2,859,000,000","2,815,000,000","2,710,000,000","2,497,000,000","2,466,000,000","2,704,000,000","2,947,000,000","3,021,000,000","2,978,000,000","2,913,000,000","3,035,000,000","2,820,000,000","2,657,000,000","2,962,000,000","2,813,000,000","2,670,000,000","2,654,000,000","2,472,000,000",,,,,,"2,487,000,000",,,,"2,525,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-5,000,000","-5,000,000","-9,000,000","-10,000,000","-11,000,000","-13,000,000","-13,000,000","-18,000,000","-20,000,000","-20,000,000","-21,000,000","-22,000,000","-23,000,000","-23,000,000","-16,000,000","-17,000,000","-13,000,000","-10,000,000","-90,000,000","-112,000,000","-116,000,000","-111,000,000","-113,000,000","-108,000,000","-103,000,000","-95,000,000","-85,000,000","-94,000,000","-83,000,000","-96,000,000","-104,000,000","-126,000,000","-124,000,000","-134,000,000","-140,000,000","-287,000,000","-314,000,000","-309,000,000","-307,000,000","-285,000,000","-300,000,000","-273,000,000","-293,000,000","-348,000,000","-324,000,000","-308,000,000","-305,000,000","-288,000,000",,,,,,"-254,000,000",,,,"-255,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			DuefromRelatedPartiesCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,"0",,,,,,,,"7,000,000","28,000,000","25,000,000",,"27,000,000","32,000,000","16,000,000","15,000,000","24,000,000","28,000,000","21,000,000","22,000,000","31,000,000","0",,,"56,000,000",,"0",,"0",,,,"0",,"0",,,,,"0","0","0",,,,,"0",,,,,,"0",,,,,,,,,"0",,,,,,,,"0",,,,,,,,,,
		Inventory,"688,000,000","604,000,000","577,000,000","445,000,000","446,000,000","461,000,000","474,000,000","504,000,000","461,000,000","487,000,000","495,000,000","496,000,000","579,000,000","577,000,000","562,000,000","583,000,000","569,000,000","562,000,000","660,000,000","633,000,000","645,000,000","630,000,000","637,000,000","655,000,000","682,000,000","675,000,000","670,000,000","734,000,000","707,000,000","702,000,000","741,000,000","710,000,000","687,000,000","684,000,000","711,000,000","763,000,000","755,000,000","769,000,000","796,000,000","826,000,000","799,000,000","789,000,000","668,000,000","654,000,000","634,000,000","600,000,000","611,000,000","551,000,000","575,000,000","569,000,000","578,000,000","577,000,000","502,000,000","574,000,000","597,000,000","600,000,000","514,000,000","480,000,000","511,000,000","497,000,000","496,000,000","518,000,000","507,000,000","495,000,000","466,000,000","460,000,000","479,000,000","437,000,000","413,000,000","418,000,000","388,000,000","366,000,000","357,000,000","376,000,000","399,000,000",,"387,000,000","384,000,000","503,000,000","510,000,000","550,000,000","626,000,000","589,000,000","542,000,000","498,000,000","499,000,000","505,000,000","437,000,000","316,000,000","307,000,000","146,000,000","123,000,000","116,000,000","119,000,000","127,000,000","121,000,000","95,000,000","95,000,000","69,000,000","71,000,000","71,000,000","81,000,000","73,000,000","40,000,000","81,000,000","36,000,000","43,100,000","44,500,000","25,400,000","23,100,000","23,900,000","21,900,000","23,000,000"
			OtherInventories,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,"0",,,,"0",,,,,"0",,"0",,,,"0",,"0",,,,,,"0","0",,,,,"0",,,,,,"0",,,,,,,,,"0",,,,,,,,"0",,,,,,,,,,
		PrepaidAssets,"91,000,000","142,000,000","133,000,000","114,000,000","105,000,000","102,000,000","100,000,000","92,000,000","106,000,000","80,000,000","72,000,000","98,000,000","111,000,000","130,000,000","97,000,000","116,000,000","66,000,000","62,000,000","89,000,000","83,000,000","118,000,000","83,000,000","92,000,000","91,000,000","116,000,000","108,000,000","121,000,000","115,000,000","129,000,000","175,000,000","208,000,000","177,000,000","199,000,000","179,000,000","199,000,000","187,000,000","256,000,000","231,000,000","226,000,000","159,000,000","238,000,000","158,000,000","190,000,000","180,000,000","203,000,000","234,000,000","190,000,000","172,000,000","221,000,000","162,000,000","274,000,000","350,000,000","347,000,000","177,000,000",,,,"137,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
